dataset,model,strategy,accuracy,precision,recall,f1,auc,training_time_s,convergence_epoch_90pct,error
xor_3d,FullIsing,zeros,0.58125,0.6444444444444445,0.3625,0.464,0.6340625,327.1304468999733,6.0,
xor_3d,Net1L,zeros,0.925,0.8863636363636364,0.975,0.9285714285714286,0.9712500000000001,1551.0242679999792,67.0,
xor_3d,FullIsing,small_randn,0.575,0.6304347826086957,0.3625,0.4603174603174603,0.6234375,327.92502249998506,6.0,
xor_3d,Net1L,small_randn,0.91875,0.8850574712643678,0.9625,0.9221556886227545,0.9721875,1529.7964325000066,68.0,
xor_3d,FullIsing,medium_randn,0.575,0.6153846153846154,0.4,0.48484848484848486,0.6509375000000001,307.89442890003556,5.0,
xor_3d,Net1L,medium_randn,0.91875,0.9036144578313253,0.9375,0.9202453987730062,0.9793749999999999,1476.1648788000457,50.0,
xor_3d,FullIsing,large_randn,0.5,0.0,0.0,0.0,0.4749999999999999,259.76709959999425,1.0,
xor_3d,Net1L,large_randn,0.5,0.0,0.0,0.0,0.538359375,1282.4731239000103,1.0,
xor_3d,FullIsing,theta_ratio,0.5,0.0,0.0,0.0,0.5821875,243.89454249996925,1.0,
xor_3d,Net1L,theta_ratio,0.4875,0.0,0.0,0.0,0.49203125000000003,1164.5309471000219,1.0,
