=== EXP3: Gamma Initialization Strategies ===

[EXP3] Dataset: xor_1d
[EXP3][xor_1d][Full][zeros] epoch 001/200 | loss=2.9495 | acc=0.5000
[EXP3][xor_1d][Full][zeros] epoch 020/200 | loss=0.5468 | acc=0.6000
[EXP3][xor_1d][Full][zeros] epoch 040/200 | loss=0.4208 | acc=0.8750
[EXP3][xor_1d][Full][zeros] epoch 060/200 | loss=0.3406 | acc=0.8250
[EXP3][xor_1d][Full][zeros] epoch 080/200 | loss=0.2804 | acc=0.8250
[EXP3][xor_1d][Full][zeros] epoch 100/200 | loss=0.2375 | acc=0.8750
[EXP3][xor_1d][Full][zeros] epoch 120/200 | loss=0.2085 | acc=0.9000
[EXP3][xor_1d][Full][zeros] epoch 140/200 | loss=0.1835 | acc=0.9250
[EXP3][xor_1d][Full][zeros] epoch 160/200 | loss=0.1622 | acc=0.9000
[EXP3][xor_1d][Full][zeros] epoch 180/200 | loss=0.1488 | acc=0.9250
[EXP3][xor_1d][Full][zeros] epoch 200/200 | loss=0.1386 | acc=0.9750
[EXP3][xor_1d][Net1L][zeros] epoch 001/200 | loss=3.6005 | acc=0.5000
[EXP3][xor_1d][Net1L][zeros] epoch 020/200 | loss=0.4774 | acc=0.8000
[EXP3][xor_1d][Net1L][zeros] epoch 040/200 | loss=0.1549 | acc=0.9250
[EXP3][xor_1d][Net1L][zeros] epoch 060/200 | loss=0.0815 | acc=0.9500
[EXP3][xor_1d][Net1L][zeros] epoch 080/200 | loss=0.0528 | acc=0.9750
[EXP3][xor_1d][Net1L][zeros] epoch 100/200 | loss=0.0516 | acc=0.9750
[EXP3][xor_1d][Net1L][zeros] epoch 120/200 | loss=0.0373 | acc=1.0000
[EXP3][xor_1d][Net1L][zeros] epoch 140/200 | loss=0.0450 | acc=0.9500
[EXP3][xor_1d][Net1L][zeros] epoch 160/200 | loss=0.0360 | acc=0.9750
[EXP3][xor_1d][Net1L][zeros] epoch 180/200 | loss=0.0360 | acc=0.9500
[EXP3][xor_1d][Net1L][zeros] epoch 200/200 | loss=0.0320 | acc=1.0000
[EXP3][xor_1d][Full][small_randn] epoch 001/200 | loss=2.9512 | acc=0.5000
[EXP3][xor_1d][Full][small_randn] epoch 020/200 | loss=0.5475 | acc=0.6000
[EXP3][xor_1d][Full][small_randn] epoch 040/200 | loss=0.4225 | acc=0.8500
[EXP3][xor_1d][Full][small_randn] epoch 060/200 | loss=0.3389 | acc=0.8250
[EXP3][xor_1d][Full][small_randn] epoch 080/200 | loss=0.2792 | acc=0.8500
